,date,ticker,company_name,person_name,person_category,number_of_securities,transaction_type,shares_before_acq,shares_after_acq,pct_before_acq,pct_after_acq,acq_mode,security_type,xbrl_link
2991,2023-06-19 18:57:00,SAPPHIRE,Sapphire Foods India Limited,prabhat dixit,-,2191,Buy,0,2191,0.0,0.0,ESOP,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147383_866828_19062023065714_WEB.xml
2992,2023-06-19 18:57:00,SAPPHIRE,Sapphire Foods India Limited,sandhydeep purri,-,1433,Sell,31619,30186,0.05,0.05,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147383_866828_19062023065714_WEB.xml
2993,2023-06-19 18:57:00,SAPPHIRE,Sapphire Foods India Limited,santosh phartale,-,672,Buy,0,672,0.0,0.0,ESOP,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147383_866828_19062023065714_WEB.xml
2994,2023-06-19 18:50:00,DGCONTENT,Digicontent Limited,the hindustan times limited,promoters,260000,Buy,38514521,38774521,66.19,66.64,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147380_866821_19062023065042_WEB.xml
2995,2023-06-19 18:41:00,IRIS,Iris Business Services Limited,subramaniam swaminathan,promoters,100000,Sell,4572168,4472168,23.62,23.1,Gift,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147378_866816_19062023064125_WEB.xml
2996,2023-06-19 18:26:00,21STCENMGM,21st Century Management Services Limited,karthik iyer,immediate relative,18512,Buy,1003335,1021847,9.56,9.73,Market Purchase,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147375_866796_19062023062626_WEB.xml
2997,2023-06-19 18:22:00,GRAVITA,Gravita India Limited,sanjay singh baid,-,3257,Sell,27835,24578,0.04,0.03,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147373_866787_19062023062226_WEB.xml
2998,2023-06-19 18:17:00,FUSION,Fusion Micro Finance Limited,amit kumar,employees/designated employees,2500,Sell,4550,2050,0.0,0.0,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147372_866776_19062023061742_WEB.xml
2999,2023-06-19 18:16:00,THOMASCOOK,Thomas Cook  (India)  Limited,ramesh ramanathan,other,10000,Sell,1462575,1452575,0.31,0.31,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147370_866773_19062023061603_WEB.xml
3000,2023-06-19 18:06:00,SAFARI,Safari Industries (India) Limited,satya brata mitra,employees/designated employees,774,Sell,11570,10796,0.05,0.05,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147366_866760_19062023060605_WEB.xml
3001,2023-06-19 18:06:00,SAFARI,Safari Industries (India) Limited,parmod aggarwal,employees/designated employees,3129,Sell,28512,25383,0.12,0.11,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147366_866760_19062023060605_WEB.xml
3002,2023-06-19 18:06:00,ALICON,Alicon Castalloy Limited,vimal gupta,key managerial personnel,6450,Sell,140741,134291,0.87,0.83,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147367_866762_19062023060606_WEB.xml
3003,2023-06-19 17:57:00,SHRENIK,Shrenik Limited,shrenik sudhir vimawala,promoters,703509,Sell,249121846,248418337,40.71,40.59,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147364_866746_19062023055728_WEB.xml
3004,2023-06-19 17:54:00,JSWSTEEL,JSW Steel Limited,jsw steel employees welfare trust ? esop plan 2016 a/c,other,189285,Sell,12609015,12416289,0.52,0.51,Market Sale,Equity Shares,https://archives.nseindia.com/corporate/xbrl/IT_1147362_866742_19062023055406_WEB.xml
